species,mu_max,alpha,I_opt,I_max,temperature,daylength,volume,taxon,environment,Chl:C
Heterocapsa circularisquama,9.34E-01,4.33E-03,1.91E+02,2.50E+02,2.50E+01,1.20E+01,2.20E+03,dinoflagellate,C,na
Skeletonema costatum,1.44E+00,2.52E-02,1.60E+02,2.50E+02,2.50E+01,1.20E+01,1.86E+02,diatom,C,na
Pseudo-nitzschia multiseries,9.57E-01,3.24E-03,3.28E+05,1.10E+03,1.00E+01,2.40E+01,na,diatom,na,9.00E-03
Alexandrium tamarense,2.98E-01,2.11E-03,3.25E+02,4.70E+02,1.50E+01,1.40E+01,1.41E+04,dinoflagellate,C,na
Thalassiosira curviseriata,6.14E-01,2.12E-02,9.42E+03,1.00E+02,5.00E+00,1.20E+01,na,diatom,C,na
Thalassiosira curviseriata,6.66E-01,1.65E-02,8.32E+01,1.00E+02,1.00E+01,1.20E+01,na,diatom,C,na
Thalassiosira curviseriata,1.06E+00,3.35E-02,8.24E+01,1.00E+02,1.50E+01,1.20E+01,na,diatom,C,na
Thalassiosira curviseriata,1.38E+00,9.85E-02,1.31E+02,1.00E+02,2.00E+01,1.20E+01,na,diatom,C,na
Heterocapsa pygmaea,2.08E-01,8.54E-03,9.23E+01,1.35E+02,2.00E+01,2.40E+01,5.00E+02,dinoflagellate,C,na
Gonyaulax polyedra,2.23E-01,3.56E-03,1.10E+02,1.84E+02,2.10E+01,1.20E+01,na,dinoflagellate,C,na
Pyrocystis noctiluca,1.13E-01,2.20E-03,2.51E+02,4.59E+02,2.30E+01,1.20E+01,1.44E+07,dinoflagellate,O,1.30E-02
Gonyaulax polyedra,2.98E-01,7.55E-04,1.74E+02,2.10E+02,2.30E+01,1.20E+01,na,dinoflagellate,na,1.90E-02
Thalassiosira scotia,6.79E-01,1.46E-01,1.55E+02,1.50E+02,-1.00E+00,na,na,diatom,C,na
Porosira pseudodenticulata,4.89E-01,3.71E+00,1.12E+01,1.50E+02,-1.00E+00,na,na,diatom,C,na
Ostreococcus tauri,9.23E-01,5.18E-02,4.36E+01,8.00E+02,2.20E+01,1.20E+01,9.10E-01,chlorophyte,O,na
Ostreococcus tauri,9.76E-01,4.62E-02,7.15E+01,8.00E+02,2.20E+01,1.20E+01,9.10E-01,chlorophyte,O,na
Ostreococcus tauri,1.18E+00,3.72E-02,1.77E+02,8.00E+02,2.20E+01,1.20E+01,9.10E-01,chlorophyte,C,na
Ostreococcus tauri,1.21E+00,4.19E-02,1.93E+02,8.00E+02,2.20E+01,1.20E+01,9.10E-01,chlorophyte,na,na
Ostreococcus tauri,1.22E+00,3.95E-02,2.18E+02,8.00E+02,2.20E+01,1.20E+01,9.10E-01,chlorophyte,C,na
Ostreococcus tauri,1.19E+00,4.97E-02,2.61E+02,8.00E+02,2.20E+01,1.20E+01,9.10E-01,chlorophyte,C,na
Nannochloropsis oceanica,8.48E-01,2.40E-01,5.18E+01,8.00E+01,1.73E+01,2.40E+01,na,eustigmatophyte,C,na
Nannochloropsis oceanica,1.15E+00,1.86E-01,1.36E+02,8.00E+01,1.96E+01,2.40E+01,na,eustigmatophyte,C,na
Nannochloropsis oceanica,1.36E+00,7.13E-02,7.77E+01,8.00E+01,2.27E+01,2.40E+01,na,eustigmatophyte,C,na
Nannochloropsis oceanica,1.72E+00,8.24E-02,2.01E+02,8.00E+01,2.56E+01,2.40E+01,na,eustigmatophyte,C,na
Nannochloropsis oceanica,2.28E+00,5.89E-02,7.19E+03,8.00E+01,2.91E+01,2.40E+01,na,eustigmatophyte,C,na
Nannochloropsis oceanica,8.69E-01,5.81E-02,9.17E+02,8.00E+01,3.24E+01,2.40E+01,na,eustigmatophyte,C,na
Coscinodiscus radiatus,5.38E-01,1.09E-02,7.48E+01,8.40E+01,1.60E+01,1.20E+01,2.20E+05,diatom,C,na
Rhizosolenia robusta,7.08E-01,3.76E-02,7.41E+01,8.40E+01,1.60E+01,1.20E+01,1.70E+06,diatom,C,na
Rhizosolenia alata f. indica,7.31E-01,4.22E-02,5.10E+01,8.40E+01,1.60E+01,1.20E+01,3.54E+05,diatom,C,na
Stephanopyxis palmeriana,1.23E+00,3.13E-02,7.18E+01,8.40E+01,1.60E+01,1.20E+01,3.50E+05,diatom,C,na
Thalassiosira rotula,1.66E+00,4.55E-02,8.54E+01,8.40E+01,1.60E+01,1.20E+01,1.90E+04,diatom,C,na
Skeletonema costatum,2.03E+00,4.55E-02,6.30E+10,4.00E+02,2.50E+01,1.40E+01,1.86E+02,diatom,C,na
Chaetoceros sp.,2.87E+00,4.02E-02,2.45E+02,4.00E+02,2.50E+01,1.40E+01,7.10E+01,diatom,C,na
Chaetoceros debilis,2.39E+00,3.16E-02,2.60E+02,4.00E+02,2.50E+01,1.40E+01,2.80E+02,diatom,C,na
Asterionella glacialis,3.49E+00,3.92E-02,2.03E+05,4.00E+02,2.50E+01,1.40E+01,9.78E+01,diatom,C,na
Chattonella antiqua,9.53E-01,5.33E-03,2.14E+02,4.00E+02,2.50E+01,1.40E+01,2.40E+04,raphidophyte,C,na
Cyanothece sp.,9.01E-01,3.54E-03,7.14E+02,8.40E+02,3.00E+01,2.40E+01,na,diazotroph,C,na
Synechococcus,1.06E+00,4.23E-02,2.04E+02,6.50E+02,2.40E+01,2.40E+01,na,cyanobacteria,na,1.76E-02
Pseudochattonella farcimen,2.14E-01,2.85E-03,3.94E+01,9.70E+01,4.00E+00,1.40E+01,na,dictyophyte,C,na
Pseudochattonella farcimen,4.12E-01,8.22E-03,6.23E+01,9.70E+01,6.00E+00,1.40E+01,na,dictyophyte,C,na
Pseudochattonella farcimen,4.85E-01,8.90E-03,7.68E+01,9.70E+01,1.10E+01,1.40E+01,na,dictyophyte,C,na
Pseudochattonella farcimen,4.89E-01,1.07E-02,9.21E+01,9.70E+01,1.30E+01,1.40E+01,na,dictyophyte,C,na
Pseudochattonella farcimen,4.65E-01,1.02E-02,9.09E+01,9.70E+01,1.60E+01,1.40E+01,na,dictyophyte,C,na
Thalassiosira oceanica,1.07E+00,3.98E-02,8.18E+02,2.83E+02,1.80E+01,2.40E+01,7.10E+01,diatom,O,na
Thalassiosira weissflogii,1.08E+00,1.69E-02,1.94E+02,2.82E+02,1.80E+01,2.40E+01,9.62E+02,diatom,C,na
Pyrocystis lunula,2.02E-01,3.13E-03,1.01E+02,1.15E+02,2.00E+01,1.20E+01,1.43E+05,dinoflagellate,O,na
Pyrocystis fusiformis,1.18E-01,1.13E-02,4.27E+01,1.28E+02,2.00E+01,1.20E+01,6.10E+07,dinoflagellate,na,na
Pyrocystis noctiluca,7.43E-02,2.04E-03,6.12E+01,9.84E+01,2.50E+01,1.20E+01,1.43E+07,dinoflagellate,na,na
Coscinodiscus granii,3.89E-01,8.18E-03,1.04E+02,1.50E+02,2.10E+01,2.40E+01,na,diatom,C,na
Phaeodactylum tricornutum,9.83E-01,1.86E-02,2.58E+02,5.56E+02,2.50E+01,1.20E+01,1.26E+02,diatom,C,6.67E-02
Chaetoceros gracilis,1.06E+00,2.72E-02,1.31E+02,1.39E+02,2.45E+01,2.40E+01,3.50E+02,diatom,O,na
Gymnodinium simplex,8.01E-01,1.06E-02,1.43E+02,2.92E+02,2.45E+01,2.40E+01,5.67E+02,dinoflagellate,O,na
Gymnodinium simplex,8.52E-01,1.87E-02,1.76E+02,3.09E+02,2.45E+01,2.40E+01,5.67E+02,dinoflagellate,O,na
Akashiwo sanguinea,1.77E-01,2.22E-03,1.10E+02,2.13E+02,1.50E+01,2.40E+01,na,dinoflagellate,C,na
Akashiwo sanguinea,2.88E-01,4.80E-02,5.71E+01,2.13E+02,2.00E+01,2.40E+01,na,dinoflagellate,C,na
Akashiwo sanguinea,2.68E-01,1.92E-02,9.69E+01,2.13E+02,2.40E+01,2.40E+01,na,dinoflagellate,C,na
Akashiwo sanguinea,2.87E-01,6.55E-03,9.51E+01,2.13E+02,2.70E+01,2.40E+01,na,dinoflagellate,C,na
Gymnodinium sanguineum,2.88E-01,4.94E-02,5.67E+01,2.14E+02,2.00E+01,2.40E+01,4.80E+04,dinoflagellate,C,na
Bolidomonas pacifica,4.97E-01,1.01E-02,1.88E+02,4.50E+02,2.00E+01,1.20E+01,4.80E+00,bolidophyte,O,na
Chaetoceros calcitrans,2.01E+00,1.04E-01,2.07E+04,2.26E+02,1.75E+01,2.40E+01,2.43E+01,diatom,na,na
Thalassiosira pseudonana,1.88E+00,7.96E-02,1.19E+02,2.25E+02,1.75E+01,2.40E+01,4.60E+01,diatom,C,na
Chaetoceros simplex,1.82E+00,8.89E-02,2.43E+02,2.26E+02,1.75E+01,2.40E+01,5.47E+01,diatom,O,na
Chaetoceros gracilis,1.63E+00,1.79E-01,2.65E+02,2.27E+02,1.75E+01,2.40E+01,5.16E+01,diatom,na,na
Phaeodactylum tricornutum,1.26E+00,6.04E-02,1.32E+02,2.26E+02,1.75E+01,2.40E+01,4.51E+01,diatom,C,na
Dunaliella tertiolecta,1.36E+00,4.01E-02,1.89E+02,2.26E+02,1.75E+01,2.40E+01,2.00E+02,chlorophyte,na,na
Pavlova lutheri,7.99E-01,4.05E-02,7.08E+01,2.26E+02,1.75E+01,2.40E+01,3.65E+01,haptophyte,C,na
Isochrysis galbana,7.72E-01,2.03E-02,7.90E+01,2.24E+02,1.75E+01,2.40E+01,4.20E+01,haptophyte,C,na
Heterosigma akashiwo,1.36E+00,3.92E-02,1.25E+02,1.63E+02,1.80E+01,2.40E+01,1.13E+03,raphidophyte,na,na
Micromonas pusilla,9.09E-01,5.13E-02,1.15E+04,1.60E+02,1.80E+01,2.40E+01,4.15E+00,chlorophyte,na,na
Thalassiosira pseudonana,1.73E+00,4.40E-02,9.85E+01,1.30E+02,1.80E+01,2.40E+01,5.60E+01,diatom,na,na
Thalassiosira pseudonana,1.31E+00,2.29E-02,1.55E+02,1.56E+02,1.80E+01,1.20E+01,6.09E+01,diatom,na,na
Synechococcus,5.04E-01,2.78E-02,7.56E+01,7.74E+01,2.00E+01,1.60E+01,1.21E+01,cyanobacteria,na,na
Pelagomonas calceolata,5.05E-01,6.78E-02,7.58E+02,6.42E+01,2.00E+01,1.60E+01,1.41E+01,pelagophyte,na,na
Prasinomonas capsulatus,3.85E-01,6.34E-02,1.41E+03,1.03E+02,2.00E+01,1.60E+01,3.35E+01,chlorophyte,O,na
Leptocylindricus danicus,2.19E+00,1.13E-01,1.46E+04,1.19E+02,2.00E+01,1.50E+01,na,diatom,C,4.00E-02
Leptocylindricus danicus,2.11E+00,1.70E-01,6.55E+03,9.53E+01,2.00E+01,1.20E+01,na,diatom,C,4.00E-02
Leptocylindricus danicus,2.27E+00,1.11E-01,7.24E+06,1.14E+02,1.50E+01,1.50E+01,6.28E+03,diatom,C,na
Leptocylindricus danicus,7.16E-01,1.56E-02,8.08E+01,7.50E+01,1.00E+01,1.50E+01,6.28E+03,diatom,C,na
Leptocylindricus danicus,2.05E-01,8.64E-03,6.24E+01,6.77E+01,5.00E+00,1.50E+01,6.28E+03,diatom,C,na
Phaeocystis pouchetii,3.91E-01,7.40E-03,2.07E+04,1.49E+02,0.00E+00,1.40E+01,1.43E+02,phaeocystis,C,2.00E-02
Phaeocystis pouchetii,5.57E-01,3.63E-02,9.80E+03,1.50E+02,2.00E+00,1.40E+01,1.43E+02,phaeocystis,na,na
Phaeocystis pouchetii,6.50E-01,4.66E-02,1.03E+04,1.85E+02,5.00E+00,1.40E+01,1.43E+02,phaeocystis,C,1.82E-02
Phaeocystis pouchetii,1.05E+00,3.33E-02,2.21E+04,3.66E+02,1.00E+01,1.40E+01,1.43E+02,phaeocystis,C,2.86E-02
Phaeocystis pouchetii,1.64E+00,1.38E-02,3.06E+02,3.81E+02,2.00E+01,1.40E+01,1.43E+02,phaeocystis,C,2.63E-02
Prorocentrum donghaiense,6.59E-01,3.03E-01,3.85E+03,2.32E+02,2.40E+01,1.20E+01,1.80E+03,dinoflagellate,C,na
Chattonella antiqua,7.79E-01,8.47E-03,1.29E+02,1.90E+02,2.50E+01,1.20E+01,2.40E+04,raphidophyte,C,na
Chattonella marina,7.16E-01,6.59E-03,1.49E+02,1.90E+02,2.50E+01,1.20E+01,1.31E+05,raphidophyte,C,na
Chattonella ovata,1.04E+00,4.82E-03,4.39E+02,3.71E+02,2.75E+01,1.20E+01,3.35E+04,raphidophyte,C,na
Chattonella ovata,8.25E-01,7.73E-03,3.02E+02,3.80E+02,2.75E+01,1.20E+01,3.35E+04,raphidophyte,C,na
Gymnodinium catenatum,1.34E-01,5.31E-03,2.27E+02,5.00E+02,1.50E+01,1.20E+01,7.40E+04,dinoflagellate,C,na
Diacronema lutheri,3.89E-01,1.15E-02,8.23E+01,1.75E+02,1.70E+01,na,na,haptophyte,na,na
Diacronema lutheri,4.82E-01,1.08E-02,9.50E+01,1.75E+02,2.00E+01,na,na,haptophyte,na,na
Diacronema lutheri,4.73E-01,9.36E-03,8.77E+01,1.75E+02,2.30E+01,na,na,haptophyte,na,na
Diacronema lutheri,4.61E-01,8.67E-03,8.54E+01,1.75E+02,2.50E+01,na,na,haptophyte,na,na
Diacronema lutheri,2.40E-01,3.04E-03,6.87E+01,1.75E+02,2.70E+01,na,na,haptophyte,na,na
Tetraselmis sp.,4.04E-01,1.57E-02,1.45E+02,1.75E+02,1.70E+01,na,3.00E+02,chlorophyte,na,na
Tetraselmis sp.,4.49E-01,1.82E-02,2.46E+02,1.75E+02,2.00E+01,na,3.00E+02,chlorophyte,na,na
Tetraselmis sp.,5.68E-01,1.36E-02,9.14E+01,1.75E+02,2.30E+01,na,3.00E+02,chlorophyte,na,na
Tetraselmis sp.,5.82E-01,1.37E-02,9.79E+01,1.75E+02,2.50E+01,na,3.00E+02,chlorophyte,na,na
Tetraselmis sp.,5.19E-01,1.07E-02,8.95E+01,1.75E+02,2.70E+01,na,3.00E+02,chlorophyte,na,na
Tetraselmis sp.,5.05E-01,9.17E-03,9.27E+01,1.75E+02,2.90E+01,na,3.00E+02,chlorophyte,na,na
Cylindrotheca closterium,4.43E-01,8.36E-03,1.02E+02,1.75E+02,1.70E+01,na,na,diatom,na,na
Cylindrotheca closterium,4.60E-01,1.75E-02,9.54E+01,1.75E+02,2.00E+01,na,na,diatom,na,na
Cylindrotheca closterium,5.79E-01,1.71E-02,1.05E+02,1.75E+02,2.30E+01,na,na,diatom,na,na
Cylindrotheca closterium,5.57E-01,1.68E-02,1.03E+02,1.75E+02,2.50E+01,na,na,diatom,na,na
Cylindrotheca closterium,5.62E-01,1.21E-02,1.02E+02,1.75E+02,2.70E+01,na,na,diatom,na,na
Cylindrotheca closterium,5.49E-01,1.16E-02,1.02E+02,1.75E+02,2.90E+01,na,na,diatom,na,na
Chaetoceros calcitrans,7.74E-01,2.19E-02,9.26E+01,1.75E+02,1.70E+01,na,na,diatom,na,na
Chaetoceros calcitrans,1.26E+00,2.29E-02,1.02E+02,1.75E+02,2.00E+01,na,na,diatom,na,na
Chaetoceros calcitrans,1.71E+00,2.57E-02,1.05E+02,1.75E+02,2.30E+01,na,na,diatom,na,na
Chaetoceros calcitrans,1.54E+00,2.78E-02,9.83E+01,1.75E+02,2.50E+01,na,na,diatom,na,na
Chaetoceros calcitrans,1.09E+00,2.38E-02,1.01E+02,1.75E+02,2.70E+01,na,na,diatom,na,na
Chaetoceros calcitrans,1.21E+00,4.03E-02,1.74E+05,1.75E+02,2.90E+01,na,na,diatom,na,na
Skeletonema costatum,2.72E+00,7.83E-03,7.73E+02,1.19E+03,2.20E+01,1.50E+01,na,diatom,C,3.33E-02
Skeletonema costatum,2.20E+00,7.15E-03,8.67E+02,1.06E+03,2.20E+01,1.20E+01,1.86E+02,diatom,na,na
Skeletonema costatum,3.40E-01,5.27E-03,2.57E+02,6.26E+02,0.00E+00,1.20E+01,na,diatom,C,3.33E-02
Skeletonema costatum,6.85E-01,6.26E-03,4.33E+02,8.18E+02,5.00E+00,1.20E+01,na,diatom,C,3.33E-02
Skeletonema costatum,1.12E+00,4.33E-03,8.89E+02,7.19E+02,1.00E+01,1.20E+01,na,diatom,C,3.33E-02
Skeletonema costatum,1.89E+00,1.06E-02,1.34E+03,8.44E+02,1.60E+01,1.20E+01,na,diatom,C,3.33E-02
